id,nombre,grupo,descripcion
186227903,Tola y Maruja,PEP,Tola y Maruja son de YolombÌ? y CaÌ±asgordas (Antioquia). Estado civil: mal casadas con AnanÌ?as y Perucho. Contratos: 3005716162.
256541943,Juan Espinal,Politico,Representante a la CÌÁmara por Antioquia. Centro DemocrÌÁtico. 2018-2022
134855279,Daniel Samper Ospina,Periodista,Columnista en @LosDanieles; youtuber en #HolaSoyDanny; comediante en #MiPutaObra y #ConPdePolombia; rector en @Escuelade_YT Contrat: ConPdePauta@gmail.com
124355265,Claudia Gurisatti,Periodista,Periodista colombiana | Directora del Canal Internacional de Noticias @NTN24 | Entrevistas| investigaciones|Reportajes| Dirige el programa @LaNocheNTN24
154294030,Claudia Morales,Periodista,Periodista. Columnista @elespectador. Creadora ÌrbolDeLibros en Armenia. Info sÌ?lo en pedidosarboldelibros@gmail.com
176315005,LAAZCARATE,PEP,INSTAGRAM: @laazcarateoficial Contacto laboral: laazcaratealaorden@gmail.com
126204564,La FM,Mediocomunicacion,"Las noticias mÌÁs importantes de Colombia y el mundo 
Los mejores Ì©xitos de los 80, 90 y milenio 

#MePasoALaFM"
139121148,Tomas Uribe Moreno,PEP,Emprendedor.
136426609,Juan Carlos Pastrana,otros,0
151624064,YolandaRuizCeballos,Periodista,Periodista Yolanda Ruiz Ceballos. Directora de Noticias de RCN RADIO al aire. Columnista de El Espectador. Autora de #EnElFiloDeLaNavaja. Consultorio Ìätico.
178718239,Gina Parody,Politico,Colombiana. Autora de #MujerAmurallada @penguinlibrosco
57174405,Rodrigo Pardo,Periodista,Periodista
89707185,DANE Colombia,Empresa,"Departamento administrativo nacional encargado de la planeaciÌ?n, levantamiento, procesamiento, anÌÁlisis y difusiÌ?n de las estadÌ?sticas oficiales de Colombia."
79585327,Noticias Uno,Mediocomunicacion,"#YoSoyLaRedIndependiente. SintonÌ?cenos en @CABLENOTICIAS a las 8PM todos los sÌÁbados, domingos y festivos. Noticiero colombiano ganador de India Catalina."
64839766,Juan Manuel Santos,Politico,Orgulloso padre y abuelo. Expresidente de Colombia. Nobel de Paz. ?Ùà¬?Ùà«?Ù¥?•ü
90558638,Patricia Janiot,Periodista,"Periodista, conductora del #NoticieroUnivision EdiciÌ?n Nocturna #AquiyAhoraShow #JaniotPM Presidenta de @colombianitos Trabajo para que seamos y estemos mejor"
66711542,Juan Fernando Cristo,Politico,"Ex Ministro del Interior. Autor de la Ley de vÌ?ctimas. TrabajarÌ© por todos los colombianos, especialmente por aquellos que han padecido el conflicto armado"
78442816,Instituto Humboldt,Empresa,Instituto de InvestigaciÌ?n de Recursos BiolÌ?gicos Alexander von Humboldt: informaciÌ?n para la toma de decisiones.
58650958,Diario La RepÌ¼blica,Mediocomunicacion,"Primer diario de noticias econÌ?micas, empresariales y financieras de Colombia"
84078498,Don Jediondo,PEP,"DON JEDIONDO TIMES ?Ù÷â 
De SutamarchÌÁn pa'l mundo.
Colombia?Ùà¬?Ùà«
Contratas: +57 3142886666 (+57 3114911522) donjediondo@donjediondo.com  
Instagram: @donjediondo"
103649357,Felipe Zuleta Lleras,Periodista,Periodista. Trinos son mi responsabilidad.
90197445,Carlos Antonio Velez,Periodista,‰ÛÏPeriodismo es publicar lo que alguien no quiere que publiques.Todo lo demÌÁs son relaciones publicas. George Orwell. En Instagram soy @velezfutbol
61018481,EL HERALDO,Mediocomunicacion,"87 aÌ±os lÌ?der en la Costa. ?ÙÒ¡?ÙÒ? Noticias de Barranquilla, Colombia, el mundo y mucho mÌÁs."
62337495,Gabriel Delascasas E,otros,Multimedia. Opiniones personales e intransferibles. @laluciernaga @caracolradio
110864102,Artunduaga 890 AM,Mediocomunicacion,"Toda la informaciÌ?n con '@ARTUNDUAGA_ por la maÌ±ana' en la 890 AM, de lunes a viernes, de 6:00 a 8:00 am., en @Todelar paÌ?s."
77694285,Carlos Vives,PEP,#BesosEnCualquierHorario?ÙÕÜ?ÙÔà?ÙÈ
69432342,PolicÌ?a de Colombia,Politico,Cuenta oficial de la PolicÌ?a Nacional de Colombia. #EsUnHonorSerPolicÌ?a
14834302,elespectador,Mediocomunicacion,"Noticias de Colombia y el mundo. El Espectador, el valor de la informaciÌ?n. @deportesEE, @EEopinion, @EspectadorVideo, @EspectadorBlogs, @TecnoEspectador,"
41048726,Pirry,PEP,"Instagram @pirryoficial YouTube pirry oficial , y adivinen, FB @pirryoficial"
39313353,Juan Carlos Iragorri,Periodista,Periodista. @elpost @WashingtonPost @VocesRCN @Harvard @ShorensteinCtr @UniofOxford @unicauca
807095,The New York Times,Mediocomunicacion,News tips? Share them here: https://t.co/ghL9OoYKMM
50981729,Gustavo BolÌ?var,Politico,Escritor. Senador de Colombia #NoViolencia #ProPaz #Animalista #Ambientalista #Humanista #NoCorrupciÌ?n #PagoPorSesiÌ?n #55/86
21860431,Ricardo GalÌÁn,Periodista,?Ù?ª•ü ?Ùà¬?Ùà« Periodista. Fundador y Director de Libreta de Apuntes Noticias - Promotor del Podcasting en espaÌ±ol.
43105334,Ricardo Hausmann,otros,I am Venezuelan. I teach economic development at Harvard's Kennedy School. I direct the Growth Lab.
19236074,Caracol Radio,Mediocomunicacion,"åÁMÌÁs compaÌ±Ì?a! | Primer lugar en noticias, deportes y opiniÌ?n | #AlAire: https://t.co/HgdpRYJPVD"
20456814,GermÌÁn Vargas Lleras,Politico,"Cuenta Oficial de GermÌÁn Vargas Lleras, ExVicepresidente de la RepÌ¼blica de Colombia"
25185308,Sergio Fajardo,Politico,Ph.D. en MatemÌÁticas. Univ. of Wisconsin-Madison. Excandidato presidencial 2018. Gobernador de Antioquia 2012-2015. Alcalde de MedellÌ?n 2004-2007.
1.37E+18,dona_pilyJanssen,otros,"Si muero, dÌ?ganle a Federer que lo amaba. Vacunada. Defensora de los Deberes Humanos. URIBISTA #YoInfluyoPositivo @LaBodeguita_TV @SalvemosColombia"
1.04E+18,Coronel HernÌÁn MejÌ?a,Politico,Precandidato Presidencial. Fundador del Movimiento @PrimeroPatriaC que tiene como objetivo rescatar a Colombia.
9.37E+17,Rosa Blanca,otros,Somos niÌ±as reclutadas y abusadas por las Farc. EscrÌ?banos al WhatsApp y envÌ?amos el poder para representarle como vÌ?ctima 3204004800 corporosablanca@gmail.com
7.70E+17,Rodrigo Uprimny,Periodista,"Investigador @Dejusticia. Profesor Universidad Nacional. Columnista @elespectador, blog @lasillavacia. Integrante ComitÌ© DESC ONU. Opiniones son personales."
1.11E+18,Macarena Olona,Politico,Diputada de VOX en el Congreso. Por ?Ùà»?Ùàü Portavoz adjunto y Secretaria General del GPVOX en el Congreso. Abogado del Estado macarena.olona@congreso.es
8.01E+17,AndrÌ©s Felipe Arias,Politico,"AndrÌ©s Felipe Arias, perseguido polÌ?tico I Cuenta administrada, temporalmente, por amigos de la causa."
9.23E+17,Rudolf Hommes,otros,Trato de ser lo que soy
8.06E+17,Marc D Gonsalves,PEP,"Co-author of New York Times bestseller Out of Captivity, survivor of FARC terrorism seeking justice, living free loving life."
1.43E+18,Soy el teniente MalagÌ?n,otros,"Coronel del glorioso EjÌ©rcito de Colombia, secuestrado por la guerrilla de las FARC en 1998, y rescatado 10 aÌ±os despuÌ©s por el EjÌ©rcito en la #OperaciÌ?nJaque."
8.22E+17,The White House 45 Archived,Mediocomunicacion,"This is an archive of a Trump Administration account, maintained by the National Archives and Records Administration."
1.05E+18,ComisiÌ?n de la Verdad,Empresa,"ComisiÌ?n para el Esclarecimiento de la Verdad, la Convivencia y la No RepeticiÌ?n."
8.23E+17,Humberto de la Calle,Politico,Cuenta oficial de Humberto de la Calle.
1.30E+18,Free Uribe,otros,0
8.48E+17,JurisdicciÌ?n Especial para la Paz,Empresa,"Cuenta oficial de la JurisdicciÌ?n Especial para la Paz (JEP) de Colombia.
Facebook: https://t.co/4fAIoAx7TS
Instagram: https://t.co/rfyTy3Yw1N"
8.61E+17,Rafael Nieto Loaiza,Periodista,"Impulsor de la Gran Alianza Republicana. Abogado, columnista y analista polÌ?tico. Ex viceministro de Justicia."
9.72E+17,Jose Miguel SantamarÌ?a Barvo,otros,"Edil de Chapinero. 2do Vicepresidente de la JAL, estudiante @GobiernoUAndes y mochilero @MochilerosXCol. #LaEducaciÌ?nPresencialEsVital"
1401041252,John Milton Jr,otros,"Aunador de esfuerzos. 
Vanidad, mi pecado favorito. 
#OjoConEl22"
2687968392,Susana Correa,Politico,Directora @ProsperidadCol - Ex Senadora de la RepÌ¼blica de Colombia - Centro DemocrÌÁtico.
3092680234,Luis Alberto Rodriguez,Politico,Caribe | Ex Director general @DNP_colombia | Ex Viceministro tÌ©cnico @minhacienda
1582987716,VocesRCN,Mediocomunicacion,"La otra cara de la noticia, el anÌÁlisis y la opiniÌ?n.  Lunes a viernes de 6 a 8:30 p.m. en @RcnRadio. 
Director: @jciragorri."
1516609855,Christian GarcÌ©s,Politico,"Representante a la CÌÁmara por el Valle del Cauca. Concejal, Diputado y Director de PlaneaciÌ?n. åÁOrgullosamente Vallecaucano!"
1912178808,#PaolaMiSenadora,Politico,Cuenta de prensa de la Senadora @PaolaHolguin
2951995276,JAIME AMIN,Politico,"Embajador de Colombia ante los Gobiernos de Emiratos Ìrabes Unidos, Qatar, Kuwait y BahrÌ©in ?Ùà¬?Ùà«"
1920140406,Santiago AlarcÌ?n U,otros,"Y es verdad, soy un Payaso"
3357762364,Nancy Patricia G,Politico,Consejera Presidencial para los Derechos Humanos y Asuntos Internacionales. Colombiana dedicada al servicio de la gente.
1937783640,ASPU Colombia,Empresa,AsociaciÌ?n Sindical de Profesores Universitarios (ASPU). 55 aÌ±os luchando por los derechos de docentes universitarios y por una mejor educaciÌ?n.
2709686844,Wilson Cordoba Mena,Empresa,Director Territorial de Antioquia Unidad de VÌ?ctimas #TrabajandoPorAntioquia
2802545808,Luis Almagro,otros,"Mi visiÌ?n: riqueza compartida y oportunidades xa tod@s en las AmÌ©ricas, con una OEA que fortalezca democracia, desarrollo, seguridad y DDHH #MÌÁsDerechosMÌÁsGente"
2865328068,Catalina Botero-Marino,otros,Personal. RT ‰äÊ apoyar. RT ‰äÊ endorsement.
2196442651,Fernando LondoÌ±o Hoyos,Politico,"Exministro y periodista, director de La Hora de La Verdad, Colombiano apasionado."
2873771193,Zona Franca,Mediocomunicacion,Programa de opiniÌ?n y debate de @RedMasTV. Conduce @MCamilaOrozco. Lunes a viernes 9 PM. Denuncias o temas: francamentezonafranca@gmail.com
2211274982,Juan Diego Restrepo E.,otros,"Director del portal https://t.co/IlpasmB5mo. Apasionado por la investigaciÌ?n. AquÌ?, mis opiniones son personales; y en Instagram (juandiree), mis maneras de ver."
2916305152,Edward Snowden,otros,I used to work for the government. Now I work for the public. President at @FreedomofPress.
2255584429,Brigadier General EliecÌ©r Camacho JimÌ©nez,otros,Cuenta Oficial de la PolicÌ?a Metropolitana de BogotÌÁ. #EsUnHonorSerPolicÌ?a
3034405390,NicolÌÁs Goyeneche V,otros,AL ?Ùİ•ü | Miembro del @CeDemocratico ?Ùà¬?Ùà« | Derecho Pontificia Universidad Javeriana | Thatcherite ?ÙàÂ?Ùà¤ | #SoyJovenCabal ?ÙÎ?
2391362917,#RamosMiAlcalde,otros,#InspiRamos porque MedellÌ?n se lo merece
3116064845,Gene F. Llerena,otros,"Flectere si nequeo superos, Acheronta movebo.
La VERDAD engendra Odio.
Preocupado de la cuestiÌ?n pÌ¼blica."
2592391137,Ernesto Lucena,Politico,"ExMinistro del Deporte de Colombia. Amor por el alto rendimiento. CampeÌ?n de Juegos Nacionales 2004. Transparencia y creatividad, mis herramientas de trabajo."
2645028393,Alejandro Rivera Camero,Politico,Director de Convivencia y Dialogo Social ?ÙÑ£@GobiernoBTA #GolesEnPaz 2.0 ‰??•ü ?Ùà¬?Ùà« Ex: Subdirector Comunal IDPAC | Alcalde Local | Edil #Comunal #GAB #Futbol
4229241075,Cristian Campos,otros,"Jefe de OpiniÌ?n de El EspaÌ±ol. TambiÌ©n en Antena 3 y Onda Madrid. Liberal de los que no quieren pagar impuestos. Yo corrÌ? delante de los rojos. Ea, quillo."
863598180,Leopoldo Fergusson,otros,"Professor of Economics at Universidad de los Andes, @EconomiaUAndes. 

Director, CEDE.

PhD, MIT (2011)."
765801386,Jorge,otros,"Caficultor, barista y catador."
476011253,Samuel Hoyos MejÌ?a,otros,"Presidente de AsomÌ?vil. @CESA_edu, @consejogremial."
486104564,EL FRENTE,Mediocomunicacion,"Somos un medio de comunicaciÌ?n con 78 aÌ±os de trayectoria, que se caracteriza por brindar #InformacionVeraz en Bucaramanga, Santander, Colombia y el mundo."
855009085,Kyle Johnson,otros,"Cofundador e investigador de la fundaciÌ?n Conflict Responses (Core). Official language: Spanglish. Creyente en ‰ÛÏpara conocer, hay que andar‰Û."
514524361,IvÌÁn Cancino,Periodista,"PapÌÁ, esposo de la mÌÁs hermosa mujer, columnista y abogado."
987294307,Virna Johnson,Politico,"Alcaldesa de @SantaMartaDTCH. åÁCreo en Dios! Administradora, Esp. en AdmÌ?n. PÌ¼blica, MSc. Exdirectora @jjbb2017, Exgerente SETP StaMta. #ElCambioEsImparable ‰Ï??Ù¤Á"
518996754,Ana Cristina Restrepo JimÌ©nez,Periodista,Periodista
752373176,Jaime Felipe Lozada,Politico,Hijo de Dios-Representante a la CÌÁmara del Departamento del Huila.
522627214,MoisÌ©s Wasserman,otros,"Profesor universitario (Universidad Nacional de Colombia) e investigador. BioquÌ?mico, Interesado en evoluciÌ?n, Ì©tica, ciencia, educaciÌ?n y sociedad."
774628742,Gabriel Arango Bacci,otros,Contralmirante (R) de la Armada de Colombia. Defensor de la Institucionalidad y la libertad democrÌÁtica.                 LA VOLUNTAD TODO LO SUPERA.
524554352,Marcos Peckel,Periodista,"Director Comunidad JudÌ?a de Colombia. Profesor RRII @Uexternado @URosario, Acad. DiplomÌÁtica. Executive Committee @WorldJewishCong y @CongresoJudio. Columnista."
465628233,Dejusticia,otros,"Centro de Estudios de Derecho, Justicia y Sociedad | Trabajamos para promover los derechos humanos en el Sur Global | English: @Dejusticia_en"
433590044,Yenny Tiusso,otros,Ni lo uno ni lo otro sino todo lo contrario..
889157791,@CarlosVelandiaJ,otros,"Investigador y consultor sobre paz y conflictos. Promotor de Paz y Vida. Paz territorial, ampliaciÌ?n de la democracia, inclusiÌ?n, paz completa."
537393234,Asoc. Colombia LÌ?der,otros,Somos ciudadanos que creemos en la necesidad de hacer una Colombia LÌ?der para fortalecer nuestra NaciÌ?n basÌÁndonos en los principios del CD - #Z018
1027270314,Sofy Casas,Periodista,"Colombiana en el exterior! ?Ùà¬?Ùà«?Ùà¼?Ùàü Analista PolÌ?tica. Florida‰÷Û•ü Columnista de opiniÌ?n @RevistaSemana , @IrreverentesCol , @Dlasamericas ."
548906668,DE LA ESPRIELLA Lawyers,otros,"Cuenta de la exitosa firma de Abogados, DE LA ESPRIELLA Lawyers Enterprise-ConsultorÌ?as y Servicios Legales Especializados. Asumimos su causa como propia."
747169903,Francisco De Roux,otros,Comision para el esclarecimiento de la verdad
569180795,HSB Noticias,Mediocomunicacion,"Vea aquÌ? las noticias que no cuentan los medios tradicionales. 
Lo invitamos a participar en: 
FB: https://t.co/GEInZHgg6c
IG: https://t.co/xqkJpi64jw"
763952581,Sandra Vilardy,otros,Sonrio casi siempre e intento tejer afectos y buenas ideas para construir realidades. BiÌ?loga marina Dra en ecologÌ?a y medio ambiente. Profesora de @Uniandes
575615374,EconomÌ?a Uniandes,otros,Cuenta de la Facultad de EconomÌ?a y del Centro de Estudios sobre Desarrollo EconÌ?mico #CEDE de @Uniandes | Vigilada MineducaciÌ?n
772888183,Gabriel J. Vallejo Chujfi,Politico,"Pereirano, orgullosamente cafetero, Representante a la CÌÁmara por Risaralda 2018/2022- Centro DemocrÌÁtico"
575765249,Revista PosiciÌ?n,otros,"#IdeasClaras 
En Facebook: Revista PosiciÌ?n"
789503900,Antigua Roma al DÌ?a,otros,Ego sum @nestormarques ?ÙÒ?Fake News de la antigua Roma #DivulgaciÌ?nDeCalidad #BulosHistÌ?ricos ‰?Ê•ü #PatrimonioEnDirecto ?ÙÒ¼El Condensador de Fluzo
593765767,Margarita Restrepo ?Ùà¬?Ùà«,otros,Integro la ComisiÌ?n Primera y la #BancadaProvida del Congreso de la RepÌ¼blica de Colombia ?Ùà¬?Ùà«; Presidente del Parlamento Global para la Tolerancia y la Paz ?ÙªÎ
857044176,Pablo Felipe Robledo,Politico,#FinDeLaCorrupciÌ?n Socio Robledo Abogados. Ex Superintendente de Industria y Comercio. Ex Viceministro de Justicia. Vicepresidente @fedecoltenis ?Ùà¬?Ùà«
595653152,Luis Alberto Moreno,otros,"Mis encuentros con personas, ideas y proyectos que estÌÁn transformando a AmÌ©rica Latina y el Caribe. Ex-presidente del Banco Interamericano de Desarrollo."
858800562,MaryAnastasiaO'Grady,Periodista,WSJ Americas columnist; editorial board member
601163523,Gustavo Ìlvarez GardeazÌÁbal,otros,"Spreaker: https://t.co/jVLCjqERF5
Youtube: https://t.co/ZPOceGQnnv
Ivoox: https://t.co/AYwVX4zJ5m"
870774000,franciscogutierrezs,otros,Investigador
617491645,Cnel Plazas Vega,otros,"Coronel (r), acadÌ©mico, catedrÌÁtico, admin de empresas, ex Director Estupefacientes, graduado con honores en Ft Leavenworth USA y Escuela del EjÌ©rcito EspaÌ±ol."
913131817,LenÌ?n Moreno,Politico,"Esposo, padre, abuelo y Expresidente de la RepÌ¼blica del Ecuador 2017 - 2021, con la certeza de que el poder es un ejercicio de humildad y servicio."
1115440213,Centro DemocrÌÁtico,otros,"Centro DemocrÌÁtico. Mano Firme, CorazÌ?n Grande - Partido PolÌ?tico. @legadouribevel

Consejos de Juventudes: https://t.co/jtLkYOZ4hG"
1010194058,Alejandro Corrales,Politico,Senador (2018-2022) Centro DemocrÌÁtico Ingeniero #AgrÌ?nomo Empresario #caficultor comprometido con el PaÌ?s.
1117317140,SelecciÌ?n Colombia,otros,Cuenta Oficial Selecciones Colombia de FÌ¼tbol / FederaciÌ?n Colombiana de FÌ¼tbol. ‰??•ü?Ùà¬?Ùà«
1090274636,PeriÌ?dico Debate,otros,0
465089702,AndrÌ©s Forero CD #1•ü‰Ä£,otros,Concejal de BogotÌÁ por el Centro DemocrÌÁtico
745646359,Daniel Mejia,otros,Economista de UniAndes; PhD en economÌ?a de Brown U. Actualmente profesor e investigador en @EconomiaUAndes. Panelista @BluRadioCo. IG: danielmejialondono
1201567172,General Naranjo,Politico,Exvicepresidente de la RepÌ¼blica de Colombia. Negociador plenipotenciario de paz y exdirector de @PoliciaColombia
703394216,Yamit Palacio,Periodista,Periodista-lector-viajante-aprendiz. Mi opiniÌ?n no es la de mi empleador. No pertenezco a ningÌ¼n ismo. Por salud mental no recibo notificaciones.
705484506,Manuel RodrÌ?guez B.,otros,"Profesor UniAndes. Presidente Foro Nacional Ambiental. Co-fundador: Centro de los ODS, Parques CÌ?mo Vamos, y Alianza para la Defensa de la Sabana de BogotÌÁ"
1339921489,CartagenaSinMiseria,otros,Cartagena libre de pobreza extrema al aÌ±o 2033
346510738,Artunduaga,otros,Desde el Huila pensando en Colombia.
330378253,Julian Silva Cala,otros,PolitÌ?logo+Abogado @uniandes. Trabajo x el desarrollo de Santander. Defensor del agua?ÙÕ¤ y la vida ‰÷¨ Hincha del AB?ÙÓ¡.
383262447,Radio SÌ¼per PopayÌÁn,Mediocomunicacion,"PrimerÌ?sima en Plataformas Digitales. 
EscÌ¼chanos en:
‰?Á•ü Frecuencia 1070AM ?ÙÒÈ
‰Ğ¦•ü Nuestra app Radio SÌ¼per PopayÌÁn ?Ù?¤
‰Ğ¦•ü Nuestra pÌÁgina web ?ÙÒ±?ÙÕÈ ?ÙÔà?Ù?"
290672220,Fernando Vallejo,otros,El dolor de los animales es el mÌ?o.
285294793,Daniel Sanin,otros,"Abogado UdeM Conciliador y Especialista en Derecho Publico U. EAFIT. ZOON POLITIKON, #SDVSF,   Instagram: https://t.co/nzSh9vSIte"
294145099,ALEJANDRO GÌÒMEZ,otros,"‰ÛÏSolo con empatÌ?a y confianza es posible la enorme acciÌ?n colectiva que requiere lograr la reconciliaciÌ?n, inclusiÌ?n, y desarrollo sostenible‰Û"
287915407,Ideam Colombia,otros,"Cuenta oficial del Instituto de HidrologÌ?a, MeteorologÌ?a y Estudios Ambientales. PQRS: https://t.co/hOttYJpx8X"
303168830,Cayetana Alvarez de Toledo,otros,"Por una EspaÌ±a de ciudadanos Libres e Iguales, ahora diputada por Barcelona del @GPPopular en el @Congreso_Es."
410228042,CÌ©sar Caballero,Periodista,"Padre, esposo, hijo, hermano. Gerente de Cifras y Conceptos. PolitÌ?logo Uniandes; Master Uni Oxford. Estudiante de Doctorado. Columnista Portafolio"
303482958,Victor Correa,Politico,"Ex-Candidato a la AlcaldÌ?a de Medellin, Ex-Representante a la CÌÁmara por Antioquia 2014-2018 Alternativo, MÌ©dico #UdeA."
334921284,FÌ©lix de Bedout,Periodista,"Periodista, presentador del Noticiero Univision Fin de Semana. WRadio Colombia. @fdbedout en Instagram."
304615687,Juan Carlos VÌ©lez Uribe,Politico,"Edil, concejal de MedellÌ?n, Senador, presidente de ANATO . Gerente NO en el plebiscito. Director Aerocivil. Presidente FENDIPETROLEO. Me gustan las aves."
339398560,Milla Romero Soto,Politico,"Nortesantandereana, Senadora del partido @centrodemocratico

#PorNuestrosNiÌ±os #ProVida #ProMujer #PorNteDeSantander #NoMÌÁsJEP"
281262004,dnp_colombia,otros,"El Departamento Nacional de PlaneaciÌ?n lidera y articula la planeaciÌ?n para el desarrollo sostenible e incluyente del paÌ?s. Directora general, @aleboterob."
349780099,Carlos Holmes Trujillo,Politico,Ministro de Defensa de la RepÌ¼blica de Colombia.
371797057,MinSaludCol,otros,Cuenta Oficial del Ministerio de Salud y ProtecciÌ?n Social de Colombia
